Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlogs,Innovative Project(Y/N),Communication level,Technical Course(Y/N),codingComptation,Internships,Projects,AMCAT_Total_Marks,Placement(Y/N)?
Female,CBSE,79.7,Other state Board,91.5,Computer Science and Design,9.21,Yes,Yes,No,No,2,Yes,No,1,2,602,Not Placed
Female,WBBSE,82,Other state Board,75.9,Electrical and Electronics Engineering,7.6,No,Yes,No,Yes,1,Yes,Yes,2,3,601,Placed
Female,WBBSE,70.7,ISE,77.4,Civil Engineering,8.22,No,No,No,No,2,Yes,Yes,2,3,602,Not Placed
Female,CBSE,77.3,CBSE,91.4,Computer Science in AIML,8.92,Yes,No,No,Yes,3,Yes,Yes,1,3,900,Placed
Female,ICSE,81,CBSE,79.8,Electrical Engineering,8.1,No,Yes,No,Yes,2,No,Yes,1,2,607,Not Placed
Male,CBSE,82.9,ISE,71.8,Mechanical Engineering,7.46,No,No,Yes,Yes,4,No,No,1,1,664,Not Placed
Female,CBSE,76.2,Other state Board,74.8,Electronics and Communication Engineering,9.04,Yes,No,No,No,4,No,Yes,2,3,645,Not Placed
Male,ICSE,83.6,Other state Board,70.9,Computer Science and Engineering,8.95,No,No,No,Yes,2,Yes,Yes,2,2,615,Placed
Female,ICSE,78.7,Other state Board,62.5,Mechanical Engineering,9.16,Yes,Yes,Yes,No,3,No,No,1,1,518,Not Placed
Male,State Board,78.6,ISE,86.9,Electrical Engineering,8.23,No,Yes,Yes,Yes,1,Yes,No,0,1,626,Not Placed
Female,CBSE,88.1,ISE,82.6,Chemical Engineering,7.1,Yes,Yes,No,Yes,4,Yes,No,1,2,473,Placed
Female,State Board,85.5,Other state Board,82.4,Computer Science and Engineering,7.49,No,No,No,Yes,1,Yes,No,1,1,526,Placed
Male,ICSE,91.8,CISCE,88.5,Computer Science and Engineering,9.48,No,No,Yes,Yes,3,Yes,Yes,1,2,501,Placed
Female,WBBSE,73.2,WBCHSE,65,Computer Science and Engineering,7.79,No,No,No,Yes,4,Yes,Yes,2,2,558,Placed
Female,CBSE,99.9,ISE,86.4,Electrical Engineering,9.16,Yes,No,No,Yes,3,Yes,Yes,1,2,781,Placed
Female,CBSE,77.5,WBCHSE,69,Civil Engineering,8.3,No,No,No,Yes,4,No,Yes,2,3,363,Not Placed
Female,WBBSE,83.7,WBCHSE,91,Electronics and Communication Engineering,7.11,No,Yes,No,No,4,Yes,No,1,2,619,Not Placed
Female,ICSE,91.7,CBSE,68.9,Computer Science and Design,8.34,No,Yes,No,No,2,No,Yes,2,3,389,Not Placed
Male,WBBSE,72.4,ISE,80.6,Electronics and Communication Engineering,9.16,Yes,No,No,Yes,2,Yes,Yes,1,3,503,Placed
Female,WBBSE,70.8,Other state Board,65.1,Electrical and Electronics Engineering,8.64,No,Yes,No,Yes,3,No,No,1,1,659,Not Placed
Male,ICSE,82.9,ISE,87.3,Electrical and Electronics Engineering,8.49,No,Yes,No,Yes,2,Yes,Yes,2,2,556,Placed
Female,CBSE,84.8,Other state Board,92.8,Electrical Engineering,7.01,No,No,No,Yes,2,Yes,Yes,2,3,442,Placed
Male,ICSE,99.8,CBSE,63.7,Civil Engineering,9.35,No,Yes,No,No,3,No,No,1,2,478,Not Placed
Female,State Board,70.6,Other state Board,70.7,Electronics and Communication Engineering,8.43,Yes,Yes,No,Yes,1,Yes,Yes,2,3,618,Placed
Male,State Board,91.2,Other state Board,73.3,Electrical and Electronics Engineering,8.49,Yes,No,No,Yes,5,Yes,No,1,1,477,Placed
Male,State Board,80.5,CBSE,68.6,Electronics and Communication Engineering,7.28,No,No,Yes,Yes,2,No,Yes,2,1,572,Not Placed
Female,CBSE,70.9,ISE,94.8,Electronics and Communication Engineering,8.8,Yes,No,No,Yes,1,Yes,Yes,0,1,555,Not Placed
Female,WBBSE,97,WBCHSE,88.6,Chemical Engineering,8.24,No,Yes,No,Yes,4,Yes,No,0,1,485,Placed
Female,CBSE,88.3,Other state Board,78.4,Electronics and Communication Engineering,7.61,Yes,Yes,No,No,5,No,Yes,2,3,764,Not Placed
Male,WBBSE,88.7,WBCHSE,83.6,Computer Science and Engineering,7.27,No,Yes,No,Yes,5,Yes,Yes,2,3,613,Placed
Female,CBSE,85.3,CBSE,76.4,Electronics and Communication Engineering,9.25,No,No,No,Yes,4,No,Yes,1,3,347,Not Placed
Male,State Board,59,Other state Board,55,Electrical Engineering,7.93,No,Yes,Yes,Yes,3,No,Yes,1,1,569,Placed
Female,State Board,87.1,CBSE,87,Computer Science and Design,8.68,Yes,No,No,Yes,5,Yes,Yes,2,3,484,Placed
Male,State Board,96.5,Other state Board,80.9,Information Technology,8.27,Yes,No,No,No,1,Yes,No,0,1,635,Not Placed
Male,State Board,91,Other state Board,86.1,Electrical Engineering,8.82,No,Yes,No,Yes,2,Yes,No,1,3,471,Placed
Female,CBSE,81.8,ISE,63.5,Electronics and Communication Engineering,7.04,Yes,Yes,Yes,No,4,Yes,Yes,0,2,539,Not Placed
Male,State Board,73,Other state Board,84,Computer Science and Engineering,7.12,No,Yes,No,No,3,Yes,No,1,2,600,Not Placed
Female,ICSE,76.4,Other state Board,66.2,Computer Science and Engineering,8.66,Yes,Yes,No,No,2,Yes,No,1,2,637,Not Placed
Female,ICSE,83.9,WBCHSE,93.5,Chemical Engineering,8.13,No,Yes,Yes,Yes,5,No,No,2,3,430,Not Placed
Female,State Board,90.5,Other state Board,83.1,Computer Science in Data Science,8.27,Yes,No,Yes,No,3,Yes,No,1,2,517,Not Placed
Female,ICSE,94,CBSE,74.7,Civil Engineering,8.71,No,No,Yes,No,4,No,Yes,0,2,503,Not Placed
Male,CBSE,85.9,ISE,76.9,Electronics and Communication Engineering,8.85,Yes,Yes,No,Yes,5,Yes,No,1,2,485,Placed
Female,WBBSE,98.5,WBCHSE,69.8,Computer Science and Engineering,8.47,No,No,No,Yes,2,Yes,No,1,1,727,Not Placed
Male,ICSE,90.6,Other state Board,64.2,Computer Science and Engineering,7.09,No,Yes,Yes,No,1,No,No,1,2,590,Not Placed
Female,CBSE,97.2,CBSE,96.4,Computer Science and Engineering,8.26,Yes,Yes,Yes,Yes,3,Yes,Yes,2,3,424,Not Placed
Female,WBBSE,89.2,WBCHSE,89.7,Computer Science and Design,8.33,Yes,No,Yes,No,2,No,No,1,1,642,Not Placed
Female,State Board,97.6,Other state Board,87.5,Electrical and Electronics Engineering,9.17,Yes,Yes,No,No,1,No,Yes,1,2,762,Not Placed
Male,CBSE,84.2,Other state Board,88,Computer Science and Design,8.11,Yes,Yes,No,Yes,4,Yes,Yes,0,2,653,Placed
Female,CBSE,82.8,CBSE,61.9,Computer Science in AIML,8.57,Yes,No,No,Yes,2,Yes,No,1,1,398,Placed
Female,CBSE,72.6,Other state Board,62.6,Electronics and Communication Engineering,8.04,No,No,No,Yes,5,Yes,Yes,1,3,502,Not Placed
Female,State Board,91,ISE,91.8,Chemical Engineering,7.39,Yes,Yes,No,No,1,Yes,Yes,2,3,677,Not Placed
Female,CBSE,82.8,ISE,85,Computer Science in Data Science,7.51,No,No,Yes,Yes,4,No,No,1,2,479,Not Placed
Male,State Board,75.4,ISE,83.1,Computer Science in Data Science,7.77,No,Yes,No,Yes,4,Yes,Yes,2,3,594,Placed
Male,ICSE,90.8,ISE,74.7,Electronics and Communication Engineering,7.32,Yes,Yes,No,No,4,No,Yes,1,3,627,Not Placed
Male,State Board,93,Other state Board,66.4,Mechanical Engineering,7.4,No,Yes,No,Yes,4,No,Yes,2,1,457,Not Placed
Female,ICSE,78.3,ISE,92.5,Computer Science and Engineering,8.01,Yes,Yes,No,No,2,No,No,0,1,544,Not Placed
Female,ICSE,74.1,CBSE,80.1,Electronics and Communication Engineering,7.12,Yes,No,No,Yes,4,Yes,Yes,0,2,226,Placed
Male,State Board,78.4,ISE,81.6,Computer Science and Engineering,8.77,Yes,No,No,Yes,1,Yes,No,1,3,448,Placed
Female,State Board,70.5,WBCHSE,63.9,Electronics and Communication Engineering,7.54,Yes,Yes,No,Yes,5,Yes,No,1,1,525,Placed
Male,State Board,86.7,WBCHSE,71.4,Electronics and Communication Engineering,8.82,Yes,Yes,No,Yes,1,Yes,Yes,2,3,425,Placed
Male,CBSE,95,CBSE,93.2,Computer Science in AIML,7.21,No,No,No,Yes,4,Yes,No,2,2,713,Placed
Male,WBBSE,84.5,Other state Board,67,Electrical and Electronics Engineering,7.2,Yes,Yes,Yes,No,5,No,No,1,2,407,Not Placed
Male,ICSE,76.8,ISE,82,Computer Science and Engineering,7.79,Yes,No,No,Yes,4,Yes,Yes,1,3,506,Placed
Male,ICSE,90.8,CBSE,92,Computer Science and Engineering,9.94,Yes,No,Yes,Yes,4,No,No,1,2,563,Placed
Female,WBBSE,73.1,CBSE,66.3,Computer Science and Engineering,8.83,Yes,No,No,Yes,2,Yes,No,1,2,694,Placed
Female,CBSE,93.2,CBSE,89,Civil Engineering,8.13,Yes,Yes,No,Yes,5,Yes,No,1,1,406,Placed
Female,State Board,81.8,ISE,74.5,Computer Science and Engineering,9.39,No,No,No,Yes,1,Yes,Yes,1,2,666,Placed
Female,WBBSE,86.5,WBCHSE,93.4,Computer Science and Design,8.8,No,No,Yes,Yes,5,Yes,No,1,1,551,Not Placed
Male,CBSE,85.5,Other state Board,62.3,Electrical and Electronics Engineering,7.99,No,No,Yes,Yes,5,Yes,No,1,2,452,Not Placed
Female,WBBSE,86.6,Other state Board,71.3,Information Technology,7.65,Yes,No,No,Yes,3,Yes,Yes,2,2,596,Placed
Male,ICSE,99.2,CBSE,73.4,Information Technology,8.3,Yes,Yes,No,Yes,5,No,Yes,2,1,570,Not Placed
Male,ICSE,85.1,WBCHSE,87.3,Electronics and Communication Engineering,7.9,Yes,No,Yes,Yes,5,No,No,1,2,490,Not Placed
Male,WBBSE,98.9,WBCHSE,78.6,Computer Science and Engineering,9.55,No,No,No,Yes,3,Yes,Yes,1,2,557,Not Placed
Female,ICSE,95,ISC,93,Mechanical Engineering,8.2,Yes,No,Yes,Yes,3,Yes,Yes,1,3,511,Placed
Female,ICSE,84.3,CBSE,90,Computer Science in Data Science,7,No,Yes,No,Yes,4,Yes,Yes,2,3,561,Placed
Female,ICSE,90.3,ISE,83.9,Chemical Engineering,9.36,Yes,Yes,No,Yes,1,Yes,Yes,1,2,616,Placed
Female,State Board,87.3,Other state Board,60.3,Mechanical Engineering,7.17,No,No,No,Yes,2,Yes,No,1,1,709,Placed
Male,ICSE,74.6,Other state Board,88,Computer Science in Data Science,9.08,Yes,No,No,Yes,1,Yes,No,0,2,426,Placed
Female,WBBSE,82.4,Other state Board,92.5,Mechanical Engineering,9.32,Yes,Yes,No,Yes,4,Yes,No,0,1,763,Placed
Female,ICSE,85,CBSE,87.7,Computer Science and Engineering,8.2,Yes,Yes,No,Yes,5,Yes,Yes,1,1,355,Placed
Female,CBSE,80.2,WBCHSE,92.4,Mechanical Engineering,8.94,Yes,No,No,Yes,5,Yes,No,1,1,535,Placed
Male,CBSE,84,ISE,83.9,Information Technology,8.97,Yes,Yes,No,Yes,5,Yes,Yes,0,3,609,Placed
Male,CBSE,75.9,Other state Board,85.6,Mechanical Engineering,9.59,No,Yes,No,Yes,2,Yes,Yes,1,3,578,Placed
Female,ICSE,96,ISE,94,Information Technology,9.25,Yes,No,No,Yes,1,Yes,Yes,0,2,488,Placed
Male,CBSE,89.3,CBSE,81.4,Information Technology,9.2,No,Yes,Yes,Yes,2,Yes,Yes,1,2,529,Placed
Male,CBSE,99,Other state Board,84,Chemical Engineering,7.77,No,Yes,No,Yes,5,Yes,Yes,2,3,501,Placed
Male,CBSE,85.2,CBSE,90.1,Electrical and Electronics Engineering,7,No,Yes,No,Yes,4,Yes,Yes,0,1,491,Placed
Male,WBBSE,90,WBCHSE,89,Computer Science and Engineering,9.6,Yes,Yes,Yes,Yes,2,Yes,Yes,2,3,635,Placed
Female,WBBSE,74,WBCHSE,81.4,Electrical Engineering,7.14,No,Yes,Yes,No,5,Yes,No,0,1,586,Not Placed
Female,CBSE,81.2,CBSE,71.9,Information Technology,7.17,No,No,No,Yes,5,Yes,Yes,1,1,481,Placed
Male,CBSE,80.3,Other state Board,87.7,Electronics and Communication Engineering,9.09,Yes,No,No,Yes,5,Yes,No,0,2,640,Placed
Male,ICSE,97.6,CBSE,85.1,Civil Engineering,7.11,Yes,No,Yes,No,2,Yes,No,1,1,581,Not Placed
Female,State Board,87.2,MSBTE,82.4,Electronic Engineering,7.8,No,Yes,No,No,2,Yes,Yes,0,3,631,Not Placed
Male,ICSE,89.3,WBCHSE,90.7,Information Technology,9.49,Yes,No,Yes,Yes,5,No,Yes,2,3,613,Not Placed
Male,State Board,86.7,CBSE,72,Computer Science and Engineering,7.27,Yes,Yes,No,Yes,4,Yes,No,1,1,467,Placed
Female,CBSE,89,ISE,93.8,Information Technology,8.33,Yes,Yes,Yes,Yes,3,Yes,Yes,1,3,494,Not Placed
Male,State Board,85.2,CBSE,88.2,Computer Science and Engineering,8.02,Yes,No,No,Yes,5,Yes,No,1,1,625,Placed
Female,ICSE,88,WBCHSE,64.6,Electronics and Communication Engineering,9.37,Yes,No,Yes,No,2,Yes,Yes,2,3,611,Not Placed
Female,WBBSE,73,WBCHSE,75.9,Electronics and Communication Engineering,7.1,No,Yes,No,Yes,3,Yes,Yes,0,3,548,Placed
Female,State Board,96,ISE,85.6,Electronics and Communication Engineering,7.19,Yes,No,Yes,Yes,3,No,No,1,2,562,Not Placed
Female,WBBSE,78.4,WBCHSE,66.8,Computer Science and Engineering,8.03,No,No,No,No,2,No,Yes,0,3,678,Not Placed
Female,CBSE,71.7,CBSE,74.4,Mechanical Engineering,8.43,No,No,No,Yes,1,No,No,0,1,491,Not Placed
Female,CBSE,93,ISE,62.5,Electrical Engineering,9.01,Yes,No,No,Yes,2,Yes,Yes,2,3,605,Placed
Male,CBSE,72.8,Other state Board,94.7,Electrical Engineering,8.09,No,Yes,No,Yes,3,Yes,No,1,2,530,Placed
Male,State Board,96.8,Other state Board,65.8,Electrical Engineering,7.58,No,Yes,No,No,2,No,No,1,1,528,Not Placed
Female,ICSE,93.2,CBSE,82,Computer Science in AIML,8.4,Yes,Yes,Yes,No,1,No,Yes,2,3,660,Not Placed
Female,ICSE,84.7,CBSE,67.1,Electronics and Communication Engineering,8.62,Yes,No,No,No,2,No,Yes,2,3,633,Not Placed
Female,WBBSE,70.1,Other state Board,82.2,Computer Science in Data Science,8.11,No,Yes,Yes,No,3,Yes,No,1,3,631,Not Placed
Male,CBSE,92.8,Other state Board,68.2,Electronics and Communication Engineering,8.24,Yes,Yes,No,Yes,3,Yes,No,1,1,681,Placed
Male,ICSE,97.2,CBSE,78.6,Electrical and Electronics Engineering,8.69,Yes,No,Yes,No,1,No,Yes,1,1,552,Not Placed
Male,ICSE,99.5,CBSE,77.5,Electronics and Communication Engineering,7.07,Yes,Yes,Yes,Yes,2,No,No,1,2,618,Not Placed
Female,ICSE,99.3,ISE,73.8,Computer Science in AIML,7.56,No,Yes,No,Yes,3,Yes,No,0,1,519,Placed
Male,State Board,81.7,ISE,84.4,Computer Science and Engineering,7.75,Yes,Yes,Yes,Yes,4,No,Yes,1,1,582,Not Placed
Female,State Board,99.5,ISE,83.2,Civil Engineering,7.68,No,No,Yes,Yes,5,No,Yes,1,1,537,Not Placed
Female,ICSE,77.1,WBCHSE,66.9,Information Technology,7.16,No,Yes,No,No,5,Yes,No,0,2,560,Not Placed
Male,State Board,80.8,CBSE,85.3,Mechanical Engineering,8.94,No,No,Yes,Yes,1,Yes,Yes,2,3,610,Not Placed
Female,CBSE,88.5,WBCHSE,81.8,Civil Engineering,9.21,Yes,Yes,Yes,No,5,Yes,No,2,1,468,Not Placed
Male,State Board,90.8,CBSE,62.2,Computer Science and Engineering,7.67,Yes,Yes,No,Yes,4,No,Yes,0,2,759,Not Placed
Female,State Board,83.1,ISE,74.5,Computer Science and Engineering,9.39,Yes,Yes,No,Yes,2,Yes,No,1,2,449,Placed
Female,CBSE,90,ISE,86.4,Computer Science and Engineering,7.94,Yes,No,No,Yes,3,Yes,Yes,2,3,429,Placed
Female,CBSE,71.5,CBSE,70.3,Computer Science and Engineering,8.31,No,No,No,Yes,2,Yes,No,1,1,666,Placed
Male,WBBSE,95.6,ISE,68.7,Information Technology,9.26,Yes,No,No,Yes,2,Yes,Yes,1,3,629,Placed
Male,ICSE,94.7,CBSE,67.2,Information Technology,9.47,Yes,No,No,Yes,2,Yes,Yes,1,2,612,Not Placed
Male,CBSE,80.5,WBCHSE,83.1,Computer Science and Engineering,7.41,Yes,No,No,Yes,4,No,No,1,1,613,Not Placed
Female,ICSE,80.8,ISE,73.5,Computer Science in AIML,8.16,Yes,Yes,Yes,Yes,3,Yes,Yes,0,2,549,Not Placed
Male,WBBSE,92.5,WBCHSE,93,Electronics and Communication and Engineeing,8.25,Yes,No,No,Yes,3,Yes,Yes,1,2,460,Not Placed
Male,State Board,90.1,CBSE,92.3,Electronics and Communication Engineering,7.99,Yes,No,No,Yes,2,Yes,Yes,2,3,558,Placed
Female,WBBSE,86.6,WBCHSE,76,Information Technology,8.17,Yes,No,No,Yes,5,Yes,Yes,1,3,482,Placed
Male,CBSE,83.2,CBSE,69.5,Chemical Engineering,7.12,No,Yes,No,No,5,No,No,1,2,648,Not Placed
Male,State Board,57.7,Other state Board,56.7,Computer Science and Engineering,8.26,No,Yes,No,Yes,3,Yes,Yes,1,3,535,Not Placed
Male,State Board,77.1,ISE,92.7,Chemical Engineering,9.05,Yes,Yes,No,Yes,2,No,Yes,1,3,467,Not Placed
Female,State Board,91.1,CBSE,91.1,Electrical and Electronics Engineering,8.08,Yes,Yes,Yes,No,4,No,No,1,2,518,Not Placed
Male,State Board,95.8,Other state Board,72.1,Electronics and Communication Engineering,9.37,No,No,No,Yes,1,Yes,Yes,2,3,591,Placed
Female,CBSE,71.6,Other state Board,63.3,Information Technology,9.36,Yes,Yes,No,Yes,1,Yes,Yes,0,3,494,Placed
Male,State Board,99.7,ISE,93.3,Chemical Engineering,8.3,Yes,Yes,Yes,No,2,No,Yes,0,3,468,Not Placed
Female,State Board,79.9,ISE,79,Computer Science and Engineering,9.14,Yes,No,Yes,Yes,1,No,No,0,2,574,Not Placed
Male,ICSE,75,CBSE,70,Electronics and Communication and Engineeing,8,No,Yes,Yes,Yes,2,Yes,Yes,2,3,574,Placed
Female,ICSE,86.3,Other state Board,85.1,Electrical Engineering,9.13,Yes,Yes,No,Yes,1,Yes,No,2,1,499,Placed
Male,ICSE,82,Other state Board,71.7,Chemical Engineering,8.15,No,Yes,Yes,No,5,No,Yes,1,1,503,Not Placed
Female,CBSE,82.4,Other state Board,72.3,Computer Science and Engineering,7.59,Yes,No,No,Yes,3,Yes,No,1,1,573,Not Placed
Male,CBSE,79.8,CBSE,88.8,Electronics and Communication Engineering,9.07,Yes,Yes,No,Yes,5,Yes,Yes,0,3,405,Placed
Male,State Board,61,Other state Board,53,Computer Science and Engineering,7.1,Yes,Yes,Yes,Yes,3,Yes,No,1,1,409,Not Placed
Female,CBSE,71.2,Other state Board,81.1,Electronics and Communication Engineering,8.68,Yes,Yes,No,Yes,3,Yes,Yes,2,3,478,Placed
Male,State Board,80.4,WBCHSE,92.1,Electrical Engineering,8.66,No,Yes,No,Yes,1,Yes,Yes,2,1,529,Placed
Female,CBSE,72,ISE,84.8,Computer Science in Data Science,7.5,Yes,No,Yes,No,3,Yes,No,1,2,581,Not Placed
Male,CBSE,72.2,Other state Board,88.6,Electronics and Communication Engineering,7.85,Yes,Yes,No,Yes,5,Yes,Yes,0,2,698,Placed
Female,CBSE,88.2,CBSE,78.1,Computer Science in Data Science,7.78,Yes,Yes,Yes,Yes,4,Yes,No,1,2,636,Not Placed
Male,State Board,73.8,ISE,77.6,Electrical and Electronics Engineering,8.22,No,Yes,Yes,No,2,Yes,No,1,2,534,Not Placed
Female,ICSE,86.8,CBSE,71.6,Information Technology,8.15,Yes,Yes,No,No,2,No,Yes,1,3,548,Not Placed
Female,CBSE,78.8,CBSE,60.9,Electronics and Communication Engineering,8.06,Yes,Yes,No,No,1,No,Yes,2,3,450,Not Placed
Male,State Board,96.5,ISE,78.4,Computer Science and Engineering,7.71,Yes,Yes,No,Yes,1,No,Yes,2,3,548,Not Placed
Male,State Board,88.8,CBSE,69.3,Computer Science and Engineering,8.02,No,Yes,No,Yes,4,Yes,Yes,1,2,521,Placed
Male,WBBSE,85.4,WBCHSE,75.6,Electrical Engineering,9.16,Yes,No,No,Yes,1,Yes,No,1,3,582,Placed
Female,ICSE,78.2,ISE,74.7,Computer Science and Engineering,8.65,Yes,Yes,No,Yes,5,Yes,No,1,2,467,Placed
Female,State Board,80,Other state Board,62.3,Computer Science in Data Science,8.68,No,No,No,Yes,2,Yes,Yes,1,3,602,Placed
Female,WBBSE,80.8,WBCHSE,85.4,Civil Engineering,8.41,Yes,Yes,No,No,3,Yes,No,1,1,703,Not Placed
Female,WBBSE,97.9,WBCHSE,63.1,Chemical Engineering,9.3,Yes,Yes,Yes,Yes,1,No,No,1,1,539,Not Placed
Male,CBSE,87.5,WBCHSE,77.8,Mechanical Engineering,8.01,No,No,Yes,Yes,5,Yes,No,2,3,590,Not Placed
Male,ICSE,79.9,ISE,82.9,Computer Science and Engineering,8.45,Yes,Yes,No,Yes,1,Yes,Yes,0,3,619,Placed
Female,ICSE,86.2,CBSE,76.8,Electrical and Electronics Engineering,9.12,No,Yes,No,No,2,Yes,No,1,1,510,Not Placed
Male,ICSE,79.6,ISE,68,Electrical and Electronics Engineering,7.92,No,No,Yes,No,4,Yes,Yes,1,2,572,Not Placed
Female,WBBSE,98.4,Other state Board,72.6,Computer Science in AIML,9.24,Yes,No,No,Yes,1,Yes,Yes,2,3,551,Placed
Female,ICSE,94.1,WBCHSE,68.6,Computer Science in AIML,8.99,Yes,Yes,Yes,Yes,2,No,Yes,2,2,560,Not Placed
Female,WBBSE,70,ISE,66.3,Electrical Engineering,7.24,No,No,No,Yes,4,Yes,No,2,2,473,Placed
Male,State Board,85.7,CBSE,63.1,Civil Engineering,7.14,No,Yes,No,No,5,No,Yes,1,2,552,Not Placed
Female,WBBSE,84.3,ISE,86.1,Mechanical Engineering,8.35,No,Yes,No,Yes,3,Yes,Yes,1,3,600,Placed
Female,State Board,97.5,ISE,69.4,Information Technology,8.93,Yes,Yes,No,Yes,2,Yes,Yes,0,3,695,Not Placed
Male,ICSE,91.1,CBSE,65.6,Computer Science and Engineering,8.8,Yes,Yes,No,Yes,1,Yes,No,1,2,646,Placed
Female,WBBSE,83.7,CBSE,79.9,Computer Science in Data Science,9.29,Yes,Yes,Yes,No,2,No,Yes,0,3,765,Not Placed
Female,WBBSE,73.6,CBSE,84.2,Computer Science and Engineering,8.4,Yes,No,No,Yes,2,Yes,No,1,1,473,Placed
Male,CBSE,99.9,CBSE,65.1,Computer Science in AIML,9.11,Yes,Yes,No,Yes,2,Yes,Yes,1,3,637,Placed
Male,CBSE,71.1,CBSE,81.1,Computer Science in AIML,7.65,Yes,Yes,No,Yes,2,Yes,Yes,1,2,568,Placed
Female,State Board,94.3,Other state Board,90.9,Computer Science in Data Science,7.86,Yes,Yes,No,Yes,4,Yes,Yes,2,2,769,Placed
Female,WBBSE,74.4,WBCHSE,82.3,Civil Engineering,7.22,No,Yes,No,Yes,3,Yes,Yes,2,1,469,Placed
Female,State Board,82,Other state Board,83,Computer Science and Engineering,6.5,Yes,Yes,No,Yes,4,Yes,Yes,1,2,466,Not Placed
Male,State Board,83.5,ISE,72.5,Computer Science and Engineering,8.62,Yes,No,No,Yes,5,Yes,No,0,2,490,Placed
Male,WBBSE,88.6,WBCHSE,82.6,Information Technology,9.32,Yes,No,No,Yes,3,Yes,No,0,1,338,Placed
Male,State Board,73.8,BSEB,70.3,Electrical Engineering,8.89,Yes,Yes,No,Yes,4,Yes,No,0,1,497,Not Placed
Male,ICSE,98.8,ISE,85.3,Electronics and Communication Engineering,7.16,Yes,No,No,Yes,2,Yes,Yes,2,1,474,Placed
Female,State Board,83.9,CBSE,74.9,Electronics and Communication Engineering,8.15,No,Yes,No,Yes,2,Yes,No,1,3,565,Placed
Male,ICSE,78.7,Other state Board,60.9,Electronics and Communication Engineering,7.5,Yes,Yes,No,Yes,2,Yes,Yes,1,2,584,Placed
Male,CBSE,45,WBCHSE,45,Computer Science and Engineering,5.5,No,Yes,No,Yes,3,Yes,Yes,2,3,738,Placed
Male,WBBSE,70,WBCHSE,82,Computer Science and Design,8.3,Yes,No,No,yes,3,Yess,No,1,2,645,Placed
Male,WBBSE,82.3,ISE,68.1,Chemical Engineering,8.26,No,No,Yes,Yes,2,Yes,Yes,2,3,492,Not Placed
Male,ICSE,82.4,ISE,82.9,Information Technology,8.06,Yes,No,No,No,5,Yes,No,1,1,460,Not Placed
Female,CBSE,74.8,ISE,84.9,Computer Science and Engineering,7.42,Yes,No,No,Yes,1,Yes,No,1,2,599,Placed
Male,CBSE,94.6,ISE,84.9,Computer Science in Data Science,8.68,Yes,Yes,Yes,No,2,Yes,Yes,0,3,418,Not Placed
Male,CBSE,86.4,ISE,72.3,Electronics and Communication Engineering,9.35,Yes,Yes,Yes,No,5,No,Yes,1,1,733,Not Placed
Female,WBBSE,88.6,WBCHSE,65.8,Computer Science in AIML,7.37,No,Yes,Yes,No,2,Yes,Yes,1,2,668,Not Placed
Male,State Board,97.8,ISE,94.2,Civil Engineering,9.19,Yes,No,No,Yes,5,Yes,Yes,2,3,503,Placed
Female,ICSE,88.8,CBSE,89.1,Computer Science and Engineering,8.34,Yes,Yes,No,No,1,Yes,No,1,1,379,Not Placed
Female,State Board,86.7,CBSE,86.7,Computer Science and Engineering,7.77,Yes,No,No,Yes,2,Yes,Yes,1,3,685,Placed
Male,CBSE,83.5,CBSE,61.1,Electrical Engineering,8.85,No,No,No,Yes,1,Yes,No,1,1,539,Placed
Male,ICSE,99.8,ISE,75.4,Electronics and Communication Engineering,7.89,Yes,Yes,Yes,Yes,5,Yes,Yes,0,1,674,Not Placed
Male,WBBSE,94.2,CBSE,90,Electronics and Communication Engineering,7.89,Yes,No,No,No,3,Yes,Yes,1,3,490,Not Placed
